Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
366,X1MTHID,0.0,"This variable is a scale of the sample member's math identity. Sample members who tend to agree with the statements ""You see yourself as a math person"" and/or ""Others see me as a math person"" will have higher values for X1MTHID. This variable was created through principal components factor analysis (weighted by W1STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S1MPERSON1 and S1MPERSON2. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the Base-Year Data File Documentation (NCES 2011-328). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.76 -0.78 2.63",Skills and self-efficacy
367,S1MCAREER,0.0,"Why are you taking [fall 2009 math course] ? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that appply.) You really enjoy math You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other math courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
368,X2HISPANIC,0.0,"The sample member's race/ethnicity is characterized by a series of six dichotomous composite variables (the student is/is not white, the student is/is not black, etc.). The six dichotomous composite race/ethnicity variables are X2HISPANIC, X2WHITE, X2BLACK, X2ASIAN, X2PACISLE, and X2AMINDIAN. Each of these dichotomous composites is pulled from the base year composite when not imputed, otherwise it is based on data from the F1 student questionnaire; if still missing, they are based on the presence of the race/ethnicity from the F1 parent questionnaire (if parent questionnaire data includes race/ethnicity information for biological parents). The six dichotomous race/ethnicity composites are then used in conjunction to produce the summary race/ethnicity composite X2RACE.",Demographic/SES controls
369,S2SPARREC,0.0,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... your parents encouraged you to take it? 1=Yes 0=No,Academic performance/preparation
370,S2INTGM112,0.0,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Integrated Math I 0=No 1=Yes,Academic performance/preparation
371,X1POVERTY130,0.0,"X1POVERTY130 indicates whether the sample member's family was at/above or below 130% of the 2008 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 130% of the poverty threshold. If X1FAMINCOME or X1HHNUMBER are imputed, then the imputation flag for the poverty variables (X1POVERTY_IM) is set to 1. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2008 poverty thresholds.",Demographic/SES controls
372,S2CALC12,0.0,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Other Calculus 0=No 1=Yes,Academic performance/preparation
373,S2ANGEOM12,0.0,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Analytic Geometry 0=No 1=Yes,Academic performance/preparation
374,S2APBIOS12,0.0,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Advanced Placement (AP) Biology 0=No 1=Yes",Academic performance/preparation
375,S2LIFES12,0.0,"What science, computer science, or engineering course or courses are you currently taking?/What science, computer science or engineering course or courses were you taking during the spring term of 2012? Life Science 0=No 1=Yes",Academic performance/preparation
376,X1TXMTH,0.0,"The math theta score represents the student's ability level on a continuous scale. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). When the score is not available, X1TXMTH1-5 are created as the multiple imputation values for X1TXMTH. X1TXMTH is the mean of X1TXMTH1-5. The standard error of measurement for the theta score is X1TXMSEM. The standardized form of the mathematics theta score is X1TXMTSCOR. See Chapter 2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328) for more information on the derivation of the math theta score. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.0283 -0.6693 2.4536",Academic performance/preparation
377,S1SENJOYS,0.0,"Why are you taking [fall 2009 science course]? [If late December or later add: (If you are no longer taking this course, think back to the fall when you answer this question and the questions that follow.)] (Check all that apply.) You really enjoy science You like to be challenged You had no choice, it is a school requirement The school counselor suggested you take it Your parent(s) encouraged you to take it A teacher encouraged you to take it There were no other science courses offered You will need it to get into college You will need it to succeed in college You will need it for your career It was assigned to you Some other reason You don't know why you are taking this course",Career interests and aspirations
