Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
90,S1MOMTALKOTH,0.020663742151810268,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about which courses to take this year other than math and science courses? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
91,S1IBCALC,0.02061150797175657,Do you plan to enroll in... an International Baccalaureate (IB) calculus course? Yes No You haven't decided yet You don't know what this is,Academic performance/preparation
92,S1NOHWDN,0.020442018803575983,How often do you... go to class without your homework done? Never Rarely Sometimes Often,Behavioral/psychological factors
93,S2SENJOYING,0.02043347825032934,How much do you agree or disagree with the following statements about [science course title/science]? [You [are enjoying/enjoyed] this class very much./You enjoy science classes very much.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,Academic performance/preparation
94,S1DADTALKPRB,0.020343183235138163,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about personal problems? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
95,X3THIMATH9,0.020085748985486037,"Highest Mathematics course taken in Ninth grade, which is the first two digits of the course SCED code: 02.",Academic performance/preparation
96,S1MTEXTBOOK,0.020076547725422236,How much do you agree or disagree with the following statements about your [fall 2009 math] course? You are certain that you can understand the most difficult material presented in the textbook used in this course Strongly agree Agree Disagree Strongly disagree,Academic performance/preparation
97,S1GETINTOCLG,0.020011388323356586,"How much do you agree or disagree with the following statements? Even if you study, you will not be able to get into college Strongly agree Agree Disagree Strongly disagree",Academic performance/preparation
98,S2HANGOUT,0.01983173764616895,Which of the following are reasons you [do not/did not] spend more time studying? You [want to /wanted to] hang out with your friends instead. 1=Yes 0=No Administered To: Respondents who thought they could earn better grades by spending more time studying.,Academic performance/preparation
99,S1FRNDTLKCLG,0.019678300564539394,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about going to college? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
100,S1DADTALKS,0.019316784082003637,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about which science courses to take this year? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
101,S1FRNDTLKOTH,0.019278247263665546,"Since the beginning of the last school year (2008-2009), which of the following people have you talked with about which courses to take this year other than math and science courses? (Check all that apply.) Your mother or female guardian Your father or male guardian Your friends A favorite teacher A school counselor None of these people",Academic performance/preparation
